CIA - The World Factbook --  BIRTH RATE

Birth rate compares the average annual number of births during a year per 1,000 persons in the population at midyear; also known as crude birth rate.

| Rank | Country | (BIRTHS/1,000 POPULATION) | Date of Information |
| --- | --- | --- | --- |
| 1 | Angola | 44.20 | 2017 est. |
| 2 | Niger | 44.20 | 2017 est. |
| 3 | Mali | 43.90 | 2017 est. |
| 4 | Uganda | 42.90 | 2017 est. |
| 5 | Zambia | 41.50 | 2017 est. |
| 6 | Burundi | 41.30 | 2017 est. |
| 7 | Burkina Faso | 41.20 | 2017 est. |
| 8 | Malawi | 41.00 | 2017 est. |
| 9 | Somalia | 39.60 | 2017 est. |
| 10 | Liberia | 38.30 | 2017 est. |
| 11 | Mozambique | 38.10 | 2017 est. |
| 12 | Afghanistan | 37.90 | 2017 est. |
| 13 | Nigeria | 36.90 | 2017 est. |
| 14 | Ethiopia | 36.50 | 2017 est. |
| 15 | Sierra Leone | 36.30 | 2017 est. |
| 16 | Tanzania | 35.60 | 2017 est. |
| 17 | Chad | 35.60 | 2017 est. |
| 18 | South Sudan | 35.50 | 2017 est. |
| 19 | Cameroon | 35.40 | 2017 est. |
| 20 | Guinea | 35.10 | 2017 est. |
| 21 | Benin | 35.00 | 2017 est. |
| 22 | Congo, Republic of the | 34.40 | 2017 est. |
| 23 | Central African Republic | 34.30 | 2017 est. |
| 24 | Gabon | 34.20 | 2017 est. |
| 25 | Zimbabwe | 34.20 | 2017 est. |
| 26 | Congo, Democratic Republic of the | 33.50 | 2017 est. |
| 27 | Timor-Leste | 33.40 | 2017 est. |
| 28 | Senegal | 33.40 | 2017 est. |
| 29 | Togo | 33.30 | 2017 est. |
| 30 | Guinea-Bissau | 32.50 | 2017 est. |
| 31 | Sao Tome and Principe | 32.40 | 2017 est. |
| 32 | Equatorial Guinea | 32.20 | 2017 est. |
| 33 | Madagascar | 31.60 | 2017 est. |
| 34 | Gaza Strip | 31.40 | 2017 est. |
| 35 | Rwanda | 30.70 | 2017 est. |
| 36 | Ghana | 30.50 | 2017 est. |
| 37 | Iraq | 30.40 | 2017 est. |
| 38 | Mauritania | 30.40 | 2017 est. |
| 39 | Eritrea | 29.60 | 2017 est. |
| 40 | Egypt | 29.60 | 2017 est. |
| 41 | Gambia, The | 29.40 | 2017 est. |
| 42 | Western Sahara | 29.30 | 2017 est. |
| 43 | Yemen | 28.40 | 2017 est. |
| 44 | Sudan | 27.90 | 2017 est. |
| 45 | Cote d'Ivoire | 27.70 | 2017 est. |
| 46 | Namibia | 27.30 | 2017 est. |
| 47 | West Bank | 26.30 | 2017 est. |
| 48 | Comoros | 26.10 | 2017 est. |
| 49 | Solomon Islands | 24.90 | 2017 est. |
| 50 | Lesotho | 24.60 | 2017 est. |
| 51 | Marshall Islands | 24.40 | 2017 est. |
| 52 | Guatemala | 24.10 | 2017 est. |
| 53 | Belize | 24.00 | 2017 est. |
| 54 | Oman | 24.00 | 2017 est. |
| 55 | Swaziland | 24.00 | 2017 est. |
| 56 | Nauru | 24.00 | 2017 est. |
| 57 | Vanuatu | 24.00 | 2017 est. |
| 58 | Jordan | 23.90 | 2017 est. |
| 59 | Kenya | 23.90 | 2017 est. |
| 60 | Papua New Guinea | 23.70 | 2017 est. |
| 61 | Philippines | 23.70 | 2017 est. |
| 62 | Tuvalu | 23.70 | 2017 est. |
